# SRC: TARGET_NAME 
# RA: 17 h 45 m 40.0410 s
# DEC: -29 deg  0 m 28.1180 s
# MJD: 0.1111 - 0.7950 
# RF: 227.2970 GHz 
# BW: 4.0960 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# ----------------------------------------------------------------
# Site       X(m)             Y(m)             Z(m)           SEFD
# ALMA50     2225037.18510   -5441199.16200   -2479303.46290  110.0000 
# SMTO      -1828796.20000   -5054406.80000    3427865.20000  11900.0000 
# LMT        -768713.96370   -5988541.79820    2063275.94720  560.0000 
# Hawaii8   -5464523.40000   -2493147.08000    2150611.75000  4900.0000 
# PV         5088967.90000    -301681.60000    3825015.80000  2900.0000 
# PdBI       4523998.40000     468045.24000    4460309.76000  1600.0000 
# SPT              0.00000          0.00000   -6359587.30000  7300.0000 
# GLT        1500692.00000   -1191735.00000    6066409.00000  4744.0000 
# ----------------------------------------------------------------
# time (hr) tint    T1     T2    Elev1   Elev2  Tau1   Tau2   U (lambda)       V (lambda)         Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
04.06666667 10.00   PdBI     PV  0.00   0.00  0.00   0.00    668373210.0000   282148900.0000    0.19937000     8.4376   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.06666667 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3365064180.0000  5667441710.0000    0.00593800   -18.2545   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.06666667 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4033437390.0000  5949590600.0000    0.00657300   141.1742   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.06666667 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4432163530.0000  2965542500.0000    0.00939000   -24.9430   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.06944444 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3367243090.0000  5666251380.0000    0.00212800   -22.2760   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.06944444 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4035401250.0000  5948163960.0000    0.00995800   171.1441   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.06944444 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4431606770.0000  2967109690.0000    0.01034800   -43.3785   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.06944444 10.00   PdBI     PV  0.00   0.00  0.00   0.00    668158160.0000   281912590.0000    0.19867000     9.5488   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.06944444 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1064363680.0000  8633361070.0000    0.01599800     9.9249   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.06944444 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -396205520.0000  8915273660.0000    0.02756900    -6.1961   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.07222222 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -393684710.0000  8915413310.0000    0.01941400   -24.0848   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.07222222 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1061627470.0000  8633736960.0000    0.01250000   -53.9867   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.07222222 10.00   PdBI     PV  0.00   0.00  0.00   0.00    667942760.0000   281676350.0000    0.20395100     8.6916   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.07222222 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4037362950.0000  5946736640.0000    0.00894900   156.2340   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.07222222 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3369420190.0000  5665060280.0000    0.00541200     6.2207   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.07222222 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4431047660.0000  2968676680.0000    0.00662600   -23.4328   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.07500000 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3371595500.0000  5663868420.0000    0.00378100   -50.4587   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.07500000 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4039322500.0000  5945308620.0000    0.00856200   158.7772   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.07500000 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4430486200.0000  2970243460.0000    0.00905100   -41.6886   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.07500000 10.00   PdBI     PV  0.00   0.00  0.00   0.00    667727000.0000   281440200.0000    0.19938400     7.6860   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.07500000 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1058890690.0000  8634111890.0000    0.02378700   -51.5560   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.07500000 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -391163700.0000  8915552080.0000    0.02222200   -20.1956   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.07777778 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1056153340.0000  8634485840.0000    0.02212500   -67.2830   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.07777778 10.00   PdBI     PV  0.00   0.00  0.00   0.00    667510880.0000   281204110.0000    0.20353200     6.0034   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.07777778 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -388642460.0000  8915689960.0000    0.02366400   137.8724   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.07777778 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4041279910.0000  5943879900.0000    0.00503200  -167.0480   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.07777778 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3373769030.0000  5662675780.0000    0.00211100    -7.3540   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.07777778 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4429922370.0000  2971810060.0000    0.00908900   -19.9040   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.08055556 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -386121030.0000  8915826940.0000    0.01684500    60.1327   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.08055556 10.00     PV    SPT  0.00   0.00  0.00   0.00  -1053415440.0000  8634858830.0000    0.02812800    28.6098   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.08055556 10.00   PdBI     PV  0.00   0.00  0.00   0.00    667294410.0000   280968110.0000    0.17800500     8.7096   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.08055556 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3375940760.0000  5661482380.0000    0.00208200   -46.2326   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.08055556 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4043235170.0000  5942450500.0000    0.00582600   153.9738   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.08055556 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4429356190.0000  2973376450.0000    0.01074000   -42.4343   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.33333333 10.00     PV    SPT  0.00   0.00  0.00   0.00   -802104790.0000  8664724210.0000    0.02293400    39.5224   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.33333333 10.00   PdBI     PV  0.00   0.00  0.00   0.00    646125260.0000   259828070.0000    0.20515300    11.4735   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.33333333 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -155979530.0000  8924552280.0000    0.00626800    26.3701   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.33333333 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4212036620.0000  5809578410.0000    0.00688200  -179.5838   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.33333333 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3565911360.0000  5549750340.0000    0.00315800   -89.7498   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.33333333 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4368016150.0000  3114973870.0000    0.00623800     5.8494   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.33611111 10.00     PV    SPT  0.00   0.00  0.00   0.00   -799321490.0000  8665007360.0000    0.02516900   179.9375   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.33611111 10.00   PdBI     PV  0.00   0.00  0.00   0.00    645876650.0000   259599630.0000    0.21917400    12.4663   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.33611111 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -153444840.0000  8924606990.0000    0.01998000    20.4160   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.33611111 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4213789870.0000  5808088660.0000    0.00464600   162.9723   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.33611111 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3567913220.0000  5548489030.0000    0.00311900     2.5939   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.33611111 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4367234710.0000  3116518330.0000    0.00904300   -44.9887   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.33888889 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3569913180.0000  5547227000.0000    0.00440600   -38.5453   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.33888889 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4215540890.0000  5806598290.0000    0.00827500   151.3657   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.33888889 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4366450940.0000  3118062510.0000    0.01692000   -22.2884   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.33888889 10.00   PdBI     PV  0.00   0.00  0.00   0.00    645627700.0000   259371280.0000    0.21211100    10.1662   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.33888889 10.00     PV    SPT  0.00   0.00  0.00   0.00   -796537760.0000  8665289520.0000    0.01403600    -4.3473   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.33888889 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -150910060.0000  8924660800.0000    0.01406900     7.8078   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.34166667 10.00     PV    SPT  0.00   0.00  0.00   0.00   -793753590.0000  8665570690.0000    0.01046700    64.0486   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.34166667 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -148375190.0000  8924713720.0000    0.01121400     5.1573   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.34166667 10.00   PdBI     PV  0.00   0.00  0.00   0.00    645378400.0000   259143020.0000    0.21535000     7.5403   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.34166667 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4217289660.0000  5805107290.0000    0.00732800   144.6803   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.34166667 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3571911260.0000  5545964270.0000    0.00601400   -50.5885   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.34166667 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4365664850.0000  3119606430.0000    0.00666100   -52.9915   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.34444444 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3573907430.0000  5544700830.0000    0.00318600   -23.1173   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.34444444 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4219036190.0000  5803615680.0000    0.00813800   143.2293   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.34444444 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4364876440.0000  3121150050.0000    0.00796200    -7.4475   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.34444444 10.00   PdBI     PV  0.00   0.00  0.00   0.00    645128770.0000   258914850.0000    0.20218700     9.0519   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.34444444 10.00     PV    SPT  0.00   0.00  0.00   0.00   -790969010.0000  8665850890.0000    0.01224700     8.4027   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.34444444 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -145840250.0000  8924765740.0000    0.01444400   -39.7624   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.34722222 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -143305220.0000  8924816860.0000    0.00609700    59.4950   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.34722222 10.00     PV    SPT  0.00   0.00  0.00   0.00   -788184010.0000  8666130090.0000    0.02218600    96.2572   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.34722222 10.00   PdBI     PV  0.00   0.00  0.00   0.00    644878780.0000   258686770.0000    0.21388600    10.2628   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.34722222 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4364085710.0000  3122693400.0000    0.00702900   -25.7926   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.34722222 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4220780490.0000  5802123450.0000    0.00530400   150.1594   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.34722222 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3575901700.0000  5543436690.0000    0.00284200   -36.9453   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.35000000 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3577894070.0000  5542171840.0000    0.00253700   -51.8892   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.35000000 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4222522530.0000  5800630610.0000    0.00646700   162.3848   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.35000000 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4363292660.0000  3124236470.0000    0.00679200    -5.4312   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.35000000 10.00   PdBI     PV  0.00   0.00  0.00   0.00    644628460.0000   258458770.0000    0.22368600     7.3536   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.35000000 10.00     PV    SPT  0.00   0.00  0.00   0.00   -785398590.0000  8666408310.0000    0.02662300    58.7185   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.35000000 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -140770130.0000  8924867090.0000    0.04046600    11.7542   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.35277778 10.00     PV    SPT  0.00   0.00  0.00   0.00   -782612760.0000  8666685550.0000    0.00551500  -122.6380   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.35277778 10.00   PdBI     PV  0.00   0.00  0.00   0.00    644377790.0000   258230870.0000    0.22150500     7.4269   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.35277778 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -138234970.0000  8924916420.0000    0.03591800     6.4363   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.35277778 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4224262330.0000  5799137160.0000    0.00970000   163.2222   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.35277778 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3579884540.0000  5540906290.0000    0.00335100   -54.3198   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.35277778 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4362497290.0000  3125779260.0000    0.00716700   -93.9389   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.35555556 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3581873100.0000  5539640030.0000    0.00441000   -20.9432   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.35555556 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4225999880.0000  5797643080.0000    0.00898300   153.5623   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.35555556 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4361699600.0000  3127321770.0000    0.01486800   -58.6467   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.35555556 10.00   PdBI     PV  0.00   0.00  0.00   0.00    644126780.0000   258003050.0000    0.22258500     9.3493   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.35555556 10.00     PV    SPT  0.00   0.00  0.00   0.00   -779826490.0000  8666961800.0000    0.02169400   152.8927   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.35555556 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -135699710.0000  8924964850.0000    0.02004600  -169.1275   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.35833333 10.00     PV    SPT  0.00   0.00  0.00   0.00   -777039830.0000  8667237070.0000    0.00450300   163.9962   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.35833333 10.00   PdBI     PV  0.00   0.00  0.00   0.00    643875430.0000   257775320.0000    0.22014200     7.0498   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.35833333 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -133164400.0000  8925012390.0000    0.02527700     3.5990   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.35833333 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4227735190.0000  5796148400.0000    0.00943000   151.8728   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.35833333 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3583859760.0000  5538373080.0000    0.00401400    -3.8010   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.35833333 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4360899590.0000  3128863990.0000    0.01064400   -31.3150   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.36111111 10.00     PV    SPT  0.00   0.00  0.00   0.00   -774252750.0000  8667511350.0000    0.01187700   -43.3907   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.36111111 10.00   PdBI     PV  0.00   0.00  0.00   0.00    643623730.0000   257547680.0000    0.20851500     8.8853   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.36111111 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -130629020.0000  8925059030.0000    0.02097600   -61.0879   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.36111111 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4229468240.0000  5794653100.0000    0.00632100   161.4428   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.36111111 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3585844510.0000  5537105420.0000    0.00378000   -34.7026   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.36111111 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4360097260.0000  3130405930.0000    0.00782700   -67.6158   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.36388889 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3587827360.0000  5535837050.0000    0.00502600   -36.5959   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.36388889 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4231199050.0000  5793157180.0000    0.00698200   152.1061   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.36388889 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4359292610.0000  3131947590.0000    0.00759600   -45.8382   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.36388889 10.00   PdBI     PV  0.00   0.00  0.00   0.00    643371690.0000   257320130.0000    0.20851100    10.6797   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.36388889 10.00     PV    SPT  0.00   0.00  0.00   0.00   -771465250.0000  8667784650.0000    0.01306000    82.8715   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.36388889 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -128093560.0000  8925104770.0000    0.00326600   -25.9898   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.36666667 10.00     PV    SPT  0.00   0.00  0.00   0.00   -768677350.0000  8668056950.0000    0.00957200   -71.5329   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.36666667 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -125558040.0000  8925149620.0000    0.00449700   -10.2808   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.36666667 10.00   PdBI     PV  0.00   0.00  0.00   0.00    643119310.0000   257092670.0000    0.21308600     6.0117   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.36666667 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4358485650.0000  3133488960.0000    0.00661200     0.2981   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.36666667 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4232927610.0000  5791660660.0000    0.00932100   148.4406   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.36666667 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3589808300.0000  5534567990.0000    0.00315500   -19.7083   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.36944444 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3591787320.0000  5533298230.0000    0.00413100    -0.0204   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.36944444 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4234653920.0000  5790163530.0000    0.00822900   149.3904   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.36944444 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4357676360.0000  3135030040.0000    0.01661200   -32.5317   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.36944444 10.00   PdBI     PV  0.00   0.00  0.00   0.00    642866590.0000   256865290.0000    0.22007600     7.2008   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.36944444 10.00     PV    SPT  0.00   0.00  0.00   0.00   -765889040.0000  8668328280.0000    0.02056400   -58.1481   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.36944444 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -123022450.0000  8925193570.0000    0.01616500    26.1064   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.37222222 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -120486790.0000  8925236630.0000    0.01625600   -30.8684   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.37222222 10.00     PV    SPT  0.00   0.00  0.00   0.00   -763100310.0000  8668598620.0000    0.01541800   147.9973   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.37222222 10.00   PdBI     PV  0.00   0.00  0.00   0.00    642613530.0000   256638010.0000    0.20397000     7.6925   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.37222222 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3593764450.0000  5532027770.0000    0.00483600   -63.3307   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.37222222 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4236377980.0000  5788665780.0000    0.00516600   155.7125   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.37222222 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4356864760.0000  3136570850.0000    0.01030900   -30.9571   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.37500000 10.00     PV    SPT  0.00   0.00  0.00   0.00   -760311190.0000  8668867970.0000    0.02106700    26.4174   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.37500000 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -117951070.0000  8925278780.0000    0.00780200  -118.0855   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.37500000 10.00   PdBI     PV  0.00   0.00  0.00   0.00    642360120.0000   256410820.0000    0.20280100     8.8693   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.37500000 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3595739650.0000  5530756610.0000    0.00127900  -101.2136   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.37500000 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4238099780.0000  5787167430.0000    0.00769900   152.6435   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.37500000 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4356050850.0000  3138111360.0000    0.00418600   -39.8759   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.37777778 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3597712950.0000  5529484750.0000    0.00271700    10.8187   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.37777778 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4239819320.0000  5785668470.0000    0.00883700   156.7736   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.37777778 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4355234610.0000  3139651580.0000    0.01254600   -62.0712   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.37777778 10.00   PdBI     PV  0.00   0.00  0.00   0.00    642106380.0000   256183710.0000    0.21776800     9.8676   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.37777778 10.00     PV    SPT  0.00   0.00  0.00   0.00   -757521670.0000  8669136330.0000    0.03382700   -48.7217   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.37777778 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -115415290.0000  8925320040.0000    0.01226200    10.6146   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.38055556 10.00     PV    SPT  0.00   0.00  0.00   0.00   -754731730.0000  8669403710.0000    0.01507300   -79.7232   0.00000000     0.0000    0.00000000     0.0000    0.01608000
04.38055556 10.00   PdBI    SPT  0.00   0.00  0.00   0.00   -112879440.0000  8925360410.0000    0.01236800    24.6404   0.00000000     0.0000    0.00000000     0.0000    0.01194000
04.38055556 10.00   PdBI     PV  0.00   0.00  0.00   0.00    641852290.0000   255956700.0000    0.21389700     9.4987   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.38055556 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3599684330.0000  5528212190.0000    0.00174200   -66.9347   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.38055556 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4241536620.0000  5784168890.0000    0.00658900   159.2536   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.38055556 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4354416060.0000  3141191520.0000    0.00264700   -44.7198   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.38333333 10.00     PV ALMA50  0.00   0.00  0.00   0.00   3601653800.0000  5526938940.0000    0.00541700   -49.9372   0.00000000    -0.0000    0.00000000    -0.0000    0.00197000
04.38333333 10.00   PdBI ALMA50  0.00   0.00  0.00   0.00   4243251660.0000  5782668720.0000    0.00815300   175.2903   0.00000000    -0.0000    0.00000000    -0.0000    0.00147000
04.38333333 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00  -4353595200.0000  3142731160.0000    0.01057300   -10.3812   0.00000000     0.0000    0.00000000     0.0000    0.00313000
04.38333333 10.00   PdBI     PV  0.00   0.00  0.00   0.00    641597860.0000   255729780.0000    0.21643000     8.0766   0.00000000    -0.0000    0.00000000    -0.0000    0.00753000
04.38333333 10.00     PV    SPT  0.00   0.00  0.00   0.00   -751941400.0000  8669670100.0000    0.03238200   123.9264   0.00000000     0.0000    0.00000000     0.0000    0.01608000
